Rank,Category,Bulgarian,English,Spoken,Source
1,Other common words,да,yes; to,da,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
2,Negation,не,no; not,ne,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
3,Pronouns & particles,се,self; reflexive particle,se,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
4,Prepositions & conjunctions,на,on; to; of,na,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
5,Pronouns & particles,си,yourself; one's own; you are,si,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
6,Verbs,ще,will; future marker,shte,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
7,Prepositions & conjunctions,за,for; about,za,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
8,Other common words,ли,question particle,li,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
9,Other common words,това,this; that,tova,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
10,Other common words,че,that; because,che,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
11,Pronouns & particles,ти,you,ti,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
12,Prepositions & conjunctions,от,from; by,ot,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
13,Pronouns & particles,ми,me; my,mi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
14,Questions & relative words,какво,what,kakvo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
15,Pronouns & particles,го,him; it,go,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
16,Verbs,съм,I am,sam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
17,Prepositions & conjunctions,по,more; along; by,po,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
18,Prepositions & conjunctions,но,but,no,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
19,Pronouns & particles,аз,I,az,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
20,Pronouns & particles,те,they; them,te,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
21,Adjectives & adverbs,добре,well; okay,dobre,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
22,Verbs,трябва,must; should; need,tryabva,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
23,Pronouns & particles,ме,me,me,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
24,Other common words,са,are,sa,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
25,Negation,няма,there is no; will not,nyama,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
26,Prepositions & conjunctions,ако,if,ako,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
27,Other common words,тук,here,tuk,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
28,Verbs,може,can; may,mozhe,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
29,Pronouns & particles,ви,you; your formal/plural,vi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
30,Adjectives & adverbs,така,so; like this,taka,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
31,Adjectives & adverbs,много,much; many; very,mnogo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
32,Prepositions & conjunctions,като,as; like,kato,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
33,Pronouns & particles,той,he,toy,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
34,Verbs,има,there is; has,ima,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
35,Pronouns & particles,му,to him; his,mu,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
36,Other common words,нещо,something; thing,neshto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
37,Verbs,беше,was,beshe,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
38,Pronouns & particles,ни,us; our,ni,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
39,Questions & relative words,как,how,kak,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
40,Other common words,само,only; just,samo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
41,Questions & relative words,защо,why,zashto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
42,Verbs,знам,I know,znam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
43,Other common words,всичко,everything,vsichko,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
44,Pronouns & particles,мен,me,men,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
45,Time,сега,now,sega,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
46,Pronouns & particles,теб,you,teb,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
47,Pronouns & particles,ги,them,gi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
48,Verbs,искам,I want,iskam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
49,Other common words,още,more; still; yet,oshte,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
50,Verbs,мога,I can,moga,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
51,Prepositions & conjunctions,до,to; until,do,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
52,Questions & relative words,което,which; that,koeto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
53,Pronouns & particles,тя,she,tya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
54,Questions & relative words,когато,when,kogato,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
55,Other common words,този,this,tozi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
56,Verbs,сте,you are,ste,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
57,Questions & relative words,къде,where,kade,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
58,Verbs,би,would,bi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
59,Adjectives & adverbs,просто,simply; just,prosto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
60,Prepositions & conjunctions,или,or,ili,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
